folder_a,folder_b,unique_a,unique_b,common,ratio_min,jaccard,files_a,files_b
Paczka II sem. 21_22/Programowanie Obiektowe/python/cdn.tutorialspoint.com/scripts,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Programowanie Obiektowe/python/cdn.tutorialspoint.com/scripts,39,35,35,1.0000,0.8974,39,35
Paczki Infa/4 SEM/(PT) Platformy Technologiczne/Stara Paczka,Paczki Infa/4 SEM/(PT) Platformy Technologiczne/Wykłady/Slajdy/Slajdy-(przed-2024),362,34,34,1.0000,0.0939,388,35
Paczka II sem. 21_22/Programowanie Obiektowe/przykladowe projekty/PrOb_proj3/venv/Lib/site-packages/pygame/examples/data,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Programowanie Obiektowe/przykladowe projekty/PrOb_proj3/venv/Lib/site-packages/pygame/examples/data,34,33,33,1.0000,0.9706,34,33
Paczka II sem. 21_22/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają)/zestaw 2/Projekt Java,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają)/zestaw 2/Projekt Java,36,33,33,1.0000,0.9167,38,35
Paczka II sem. 21_22/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają)/zestaw 2/Projekt cpp,Paczki INFA/Paczka 2 sem. 23_24/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają)/zestaw 2/Projekt cpp,37,33,33,1.0000,0.8919,38,34
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają)/zestaw 2/Projekt cpp,Paczki INFA/Paczka 2 sem. 23_24/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają)/zestaw 2/Projekt cpp,35,33,33,1.0000,0.9429,36,34
Paczki INFA/Paczka 3 sem. 23_24/(BD) Bazy Danych/Wykłady/Egzamin,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Bazy Danych/Egzamin,33,34,33,1.0000,0.9706,33,34
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Podstawy Analizy Algorytmów/Notatki,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Podstawy Analizy Algorytmów/Notatki,35,33,33,1.0000,0.9429,35,33
Paczka II sem. 21_22/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają)/zestaw 2/Projekt Java/VirtualWorld,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają)/zestaw 2/Projekt Java/VirtualWorld,35,32,32,1.0000,0.9143,35,32
Paczki Infa/3 SEM/(PAA) Podstawy Analizy Algorytmów/Egzamin/Stare/Rozwiązane Zadania,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Podstawy Analizy Algorytmów/Kolokwia/Rozwiązane Zadania,32,40,32,1.0000,0.8000,35,43
Paczki Infa/4 SEM/(PT) Platformy Technologiczne/Stara Paczka/Wykład,Paczki Infa/4 SEM/(PT) Platformy Technologiczne/Wykłady/Slajdy/Slajdy-(przed-2024),32,34,32,1.0000,0.9412,33,35
